snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
50,0.166,0.005,65199836,20887008,18691524,25621304,67108860,67108860,0,37402056,backup,40,0.5,2019-10-24 13:49:58
51,0.166,0.005,65199836,20237060,18691420,26271356,67108860,67108860,0,37077308,backup,40,0.5,2019-10-24 13:49:58
52,0.166,0.005,65199836,19876512,18697444,26625880,67108860,67108860,0,36893900,backup,40,0.5,2019-10-24 13:49:58
53,0.166,0.005,65199836,19318744,18699100,27181992,67108860,67108860,0,36614980,backup,40,0.5,2019-10-24 13:49:58
54,0.166,0.005,65199836,18842688,18679952,27677196,67108860,67108860,0,36384648,backup,40,0.5,2019-10-24 13:49:58
55,0.166,0.005,65199836,18273848,18684396,28241592,67108860,67108860,0,36100360,backup,40,0.5,2019-10-24 13:49:58
56,0.166,0.005,65199836,17787104,18690704,28722028,67108860,67108860,0,35889312,backup,40,0.5,2019-10-24 13:49:58
57,0.166,0.005,65199836,17279780,18692076,29227980,67108860,67108860,0,35886156,backup,40,0.5,2019-10-24 13:49:58
58,0.166,0.005,65199836,16798304,18690344,29711188,67108860,67108860,0,35886616,backup,40,0.5,2019-10-24 13:49:58
59,0.166,0.005,65199836,16202932,18695020,30301884,67108860,67108860,0,35883728,backup,40,0.5,2019-10-24 13:49:58
60,0.166,0.005,65199836,15902676,18694852,30602308,67108860,67108860,0,35883536,backup,40,0.5,2019-10-24 13:49:58
61,0.166,0.005,65199836,15273392,18702276,31224168,67108860,67108860,0,35877016,backup,40,0.5,2019-10-24 13:49:58
62,0.166,0.005,65199836,14786888,18703288,31709660,67108860,67108860,0,35875744,backup,40,0.5,2019-10-24 13:49:58
63,0.166,0.005,65199836,14352924,18708244,32138668,67108860,67108860,0,35870920,backup,40,0.5,2019-10-24 13:49:58
64,0.166,0.005,65199836,13830484,18709256,32660096,67108860,67108860,0,35869652,backup,40,0.5,2019-10-24 13:49:58
65,0.166,0.005,65199836,13248404,18726872,33224560,67108860,67108860,0,35851692,backup,40,0.5,2019-10-24 13:49:58
1,0.166,0.005,65199836,8779652,18763424,37656760,67108860,67108860,0,35813420,backup,40,0.8,2019-10-24 13:56:02
